A,B,C,D
a4300,b482,c206,d4281
a1379,b206,c1872,d4273
a3730,b3724,c4359,d3221
a2965,b3167,c3547,d4205
a1850,b1883,c811,d865
a2603,b2085,c1663,d2032
a450,b380,c3336,d4237
a773,b3326,c1527,d4063
a223,b847,c1904,d3227
a1062,b2178,c4622,d2027
a2542,b2385,c1409,d573
a461,b3691,c2598,d867
a2993,b2454,c927,d3542
a4060,b1594,c3468,d2973
a1415,b3090,c2068,d2840
a2026,b2401,c2205,d2376
a2871,b2862,c2904,d461
a1645,b347,c842,d1331
a4363,b1666,c1416,d3093
a4308,b3323,c4369,d4222
a3170,b810,c451,d4312
a2761,b3141,c15,d232
a3942,b462,c1715,d1876
a4710,b2991,c567,d1368
a51,b3109,c1963,d1820
a4027,b2143,c9,d649
a139,b1598,c1052,d1637
a1700,b2405,c935,d3129
a3058,b477,c4616,d2428
a1516,b3461,c2868,d1229
a1063,b1406,c1925,d1439
a1440,b1659,c4475,d915
a1541,b2661,c2258,d2332
a2159,b2222,c3388,d2113
a2977,b3355,c3005,d1306
a2420,b1764,c1422,d2489
a2886,b2409,c3679,d3715
a2659,b1713,c2690,d4388
a3708,b433,c3375,d1343
a4776,b3362,c436,d1429
a2346,b1047,c1127,d947
a1055,b3425,c4723,d1209
a3225,b2924,c3336,d4436
a4003,b632,c3707,d3440
a2098,b3723,c3858,d2909
a1783,b3198,c3531,d1087
a2636,b144,c4235,d2676
a3168,b2529,c2261,d1009
a2175,b3306,c2844,d580
a639,b734,c3400,d2953
a4105,b1115,c2277,d3329
a1136,b25,c2803,d3651
a2838,b1647,c587,d4131
a2173,b3486,c457,d180
a602,b2942,c4667,d4402
a865,b2597,c1621,d41
a4126,b116,c4042,d585
a3316,b563,c1740,d3649
a2153,b2703,c547,d1543
a356,b1030,c4262,d4106
a1862,b2519,c4500,d1266
a40,b2425,c523,d2213
a1382,b3254,c4260,d346
a4557,b2314,c3128,d3211
a1575,b1040,c2359,d1073
a2961,b1558,c4365,d2527
a3294,b3426,c2175,d3652
a3778,b930,c2819,d2289
a2843,b553,c1043,d1839
a323,b699,c4655,d2588
a876,b831,c3782,d6
a2916,b2366,c3430,d2129
a430,b3307,c1779,d2814
a3800,b3218,c1286,d3166
a3427,b433,c4407,d2205
a1294,b402,c1718,d379
a2268,b3746,c3725,d3731
a2729,b3390,c4126,d285
a2444,b145,c173,d474
a20,b2850,c1210,d3283
a4035,b896,c4376,d3311
a1060,b2907,c1023,d2824
a1350,b3310,c4590,d603
a2538,b2265,c1910,d2164
a150,b408,c3191,d4140
a2101,b3390,c4063,d2579
a723,b1908,c2085,d1587
a4083,b1438,c3372,d1564
a962,b542,c1126,d3678
a3977,b1629,c3526,d1840
a3895,b1199,c639,d4345
a4631,b659,c4342,d3237
a174,b1512,c1548,d3492
a179,b2990,c3917,d1037
a2353,b235,c2402,d3911
a1320,b1262,c271,d3217
a2626,b3746,c3728,d1123
a3992,b460,c3722,d3773
a3185,b1348,c2085,d538
a788,b2267,c3203,d4344
a4847,b3475,c3414,d2608
a2715,b1552,c2973,d3623
a906,b2990,c2558,d4397
a1227,b1597,c2980,d4085
a1669,b337,c3798,d2666
a1953,b2136,c1526,d2311
a415,b2203,c4498,d4391
a4687,b521,c1538,d693
a4776,b483,c88,d4236
a2415,b874,c4156,d797
a267,b3691,c3930,d1355
a4502,b725,c1546,d395
a4603,b2161,c818,d548
a1147,b508,c4252,d1437
a3687,b401,c3226,d1793
a2693,b3437,c2529,d611
a1182,b380,c3781,d2324
a4324,b1962,c4679,d3241
a961,b1400,c427,d3080
a1470,b2290,c2224,d2895
a4482,b1500,c297,d2791
a4572,b2156,c399,d890
a4052,b1446,c1350,d634
a1100,b3116,c2947,d2332
a224,b1541,c497,d3803
a4332,b2760,c3604,d2801
a2598,b3027,c3106,d853
a1450,b2953,c2381,d2101
a1649,b957,c4244,d2652
a1343,b2917,c2452,d769
a1673,b660,c3103,d160
a3110,b2327,c1085,d23
a428,b1291,c1218,d3270
a4222,b569,c159,d1742
a58,b255,c6,d593
a971,b1017,c1806,d3901
a4210,b2160,c1547,d4340
a3453,b1690,c2247,d1514
a988,b2488,c3500,d2133
a3632,b3664,c2986,d72
a4290,b2317,c4044,d3747
a2824,b3053,c4046,d2698
a272,b422,c2285,d878
a4749,b25,c2724,d3233
a2772,b449,c1950,d2139
a4206,b2671,c4071,d3776
a3908,b604,c4728,d2754
a705,b467,c3494,d2041
a924,b993,c3180,d1369
a4331,b2699,c187,d4266
a3919,b1238,c3253,d1572
a416,b1406,c144,d749
a2184,b3779,c4197,d1174
a3786,b122,c4016,d1977
a4046,b1551,c105,d2161
a1697,b2105,c3850,d2501
a3986,b1697,c4673,d2693
a4040,b1246,c1345,d4023
a3503,b3003,c4273,d891
a400,b1373,c337,d1229
a4193,b928,c4535,d4179
a237,b1284,c328,d2158
a1236,b400,c3002,d259
a742,b681,c1430,d3653
a3463,b360,c4053,d3964
a3050,b1865,c3202,d3600
a16,b668,c4654,d3944
a124,b727,c894,d852
a204,b2221,c4024,d2982
a2694,b1063,c1987,d690
a3338,b435,c3843,d169
a4260,b3466,c4737,d1802
a646,b3749,c532,d2841
a1062,b3497,c352,d1720
a2363,b1695,c2607,d1884
a1401,b3424,c1621,d886
a4051,b2779,c4474,d3088
a1009,b1427,c1375,d2454
a4703,b1129,c2487,d3063
a3522,b3456,c917,d222
a4070,b397,c3980,d3401
a4399,b1738,c289,d1884
a3644,b2657,c2345,d3232
a2129,b1789,c3984,d3409
a780,b1994,c4483,d1335
a3716,b3045,c2790,d2154
a3122,b3577,c571,d2550
a2041,b3350,c2894,d3361
a1854,b1894,c2319,d899
a1734,b3022,c1029,d1448
